probe_step,best_layer,best_score,top1,top2,top3,top4,top5
1,26,0.19461971521377563,layer_26:0.194620,layer_25:0.193793,layer_24:0.191971,layer_23:0.188003,layer_27:0.180005
5,24,0.22866666316986084,layer_24:0.228667,layer_23:0.227218,layer_22:0.222154,layer_25:0.221936,layer_21:0.215333
10,24,0.2236187905073166,layer_24:0.223619,layer_23:0.221397,layer_25:0.218329,layer_22:0.217395,layer_21:0.212131
20,24,0.2000318467617035,layer_24:0.200032,layer_22:0.199733,layer_23:0.199674,layer_25:0.195228,layer_21:0.193512
30,23,0.1960255652666092,layer_23:0.196026,layer_22:0.196009,layer_24:0.195597,layer_25:0.189391,layer_21:0.188696
40,22,0.1926834136247635,layer_22:0.192683,layer_23:0.190681,layer_24:0.189151,layer_21:0.186032,layer_25:0.182482
50,22,0.1873931735754013,layer_22:0.187393,layer_23:0.184787,layer_24:0.181217,layer_21:0.180416,layer_25:0.174477
64,22,0.1591699719429016,layer_22:0.159170,layer_23:0.157119,layer_21:0.155301,layer_24:0.150521,layer_20:0.150267
