config,steps,quantile,radii,safe_blocked,safe_total,safe_block_rate,unsafe_blocked,unsafe_total,unsafe_block_rate,ASR_post,TP,FP,TN,FN,AUROC_margin,AUPR_margin
single_step_5_q098,5,0.98,7.695811,0,50,0.0,0,50,0.0,100.0,0,0,50,50,0.7308000000000001,0.6544660409266444
single_step_30_q098,30,0.98,7.055799,0,50,0.0,0,50,0.0,100.0,0,0,50,50,0.546,0.48395484439294545
trajectory_5_30_q098,5 30,0.98,7.695811 7.055799,0,50,0.0,0,50,0.0,100.0,0,0,50,50,0.6980000000000002,0.6268598879732176
aggressive_1_5_10_q095,1 5 10,0.95,7.170171 7.283601 7.210725,0,50,0.0,0,50,0.0,100.0,0,0,50,50,0.6824,0.5848277099609678
